Order ID,Order Date,Buyer,Base Currency,Shipping,Insurance,Add Chrg 1,Add Chrg 2,Credit,Coupon Credit,Order Total,Tax,Base Grand Total,Total Lots,Total Items,Order Status,Order Status Changed,Pmt In,Pmt Method,Order Note,Tracking No,Location,Batch,Batch Date,Condition,Item Description,My Remarks,Qty,Each,Total,Item Type,Item Number,Weight,Inv ID,Sub-Condition,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22979921,8/30/2023,Taylor68,USD,$4.99,,,,,,$5.75,$0.59,$11.33,1,5,Completed,9/8/2023,USD,PayPal (Onsite),,,"USA, Wisconsin",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/30/2023,Used,"Dark Bluish Gray Brick, Modified 12 x 12 with 3 Pin Holes on each Side and Axle Holes in Corners",,5,$1.15,$5.75,Part,52040,29.6,363929387,,,
22954388,8/27/2023,jklotz08,USD,$4.99,,,,,,$1.20,$0.31,$6.50,1,30,Completed,9/1/2023,USD,PayPal (Onsite),,,"USA, Wisconsin",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/27/2023,Used,Green Plant Flower Stem with Stud and 3 Stems,,30,$0.04,$1.20,Part,3741,0.2,364236469,,,
22928618,8/24/2023,u999333,USD,$4.99,,,,,,$18.17,$1.39,$24.55,6,28,Completed,8/30/2023,USD,PayPal (Onsite),,,"USA, Vermont",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,Imperial Death Trooper ,,1,$9.99,$9.99,Minifigure,sw0807,4.2,364242025,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,"Black Minifigure, Utensil Camera with Side Sight &#40;Space Gun&#41;",,7,$0.06,$0.42,Part,4360,1.02,364994157,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,"Dark Bluish Gray Minifigure, Utensil Binoculars Space ",,7,$0.03,$0.21,Part,30304,0.3,364991215,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,"Red Minifigure, Utensil Dynamite Sticks Bundle ",,10,$0.03,$0.30,Part,64728,0.5,364365662,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",,1,$2.25,$2.25,Part,50995pb01,1.03,363531063,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,New,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",,2,$2.50,$5.00,Part,50995pb01,1.03,364231550,,,
22928291,8/24/2023,Quebery213,USD,$6.50,,$0.75,,,,$7.40,$1.03,$15.68,1,37,Completed,9/1/2023,USD,PayPal (Onsite),,,"USA, New York",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/24/2023,Used,"Black Minifigure, Weapon Gun, Blaster Short &#40;SW&#41;",,37,$0.20,$7.40,Part,58247,0.34,364245881,,,
22847940,8/14/2023,DadNandoBricks,USD,$4.99,,,,,,$54.98,$3.99,$63.96,2,2,Completed,8/19/2023,USD,PayPal (Onsite),,,"USA, Utah",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/14/2023,Used,"Pearl Sand Blue Arm Mechanical, Super Battle Droid Both clips are still intact and hold well",,1,$24.99,$24.99,Part,41890,0.48,363187998,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/14/2023,Used,"Pearl Sand Blue Legs Mechanical, Super Battle Droid Both clips still intact and hold well",,1,$29.99,$29.99,Part,42687,0.75,363187942,,,
22846850,8/13/2023,LaughingQuoll,USD,$4.99,,,,,,$8.99,$0.98,$14.96,1,1,Completed,8/19/2023,USD,PayPal (Onsite),,,"USA, North Carolina",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,8/13/2023,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,,1,$8.99,$8.99,Part,48431pb01,0.06,362705061,,,
