Order ID,Order Date,Buyer,Base Currency,Shipping,Insurance,Add Chrg 1,Add Chrg 2,Credit,Coupon Credit,Order Total,Tax,Base Grand Total,Total Lots,Total Items,Order Status,Order Status Changed,Pmt In,Pmt Method,Order Note,Tracking No,Location,Batch,Batch Date,Condition,Item Description,My Remarks,Qty,Each,Total,Item Type,Item Number,Weight,Inv ID,Sub-Condition,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23214652,9/29/2023,ArcStore27,USD,$4.99,,,,,,$6.50,$0.47,$11.96,2,2,Shipped,9/30/2023,USD,PayPal (Onsite),,,"USA, California",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/29/2023,Used,Trans-Light Blue Brick 1 x 2 x 5 without Side Supports with Emperor Palpatine Pattern on Both Sides (Stickers) - Set 6211,,1,$3.50,$3.50,Part,46212pb001,3.5,366406343,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/29/2023,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern ",,1,$3.00,$3.00,Part,30408p01,1.07,366416338,,,
23170630,9/23/2023,hanlike,USD,$4.99,,,,,,$31.94,$2.87,$39.80,6,11,Shipped,9/28/2023,USD,PayPal (Onsite),,,"USA, California",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,Rene Belloq - Dark Tan Jacket ,,1,$9.48,$9.48,Minifigure,iaj009,3.51,363929481,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,Satipo - Shirt with Black Pockets ,,1,$6.26,$6.26,Minifigure,iaj010,3.61,363929482,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,"Metallic Gold Minifigure, Utensil Peruvian Temple Idol &#40;Golden Idol&#41; Type 1 - Mold Position Number on Back, without Reinforced Inside",,1,$15.19,$15.19,Part,62713,0.9,363929439,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,"Metallic Silver Plate, Round 1 x 1",,5,$0.06,$0.30,Part,4073,0.12,363782449,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,Pearl Light Gray Barb / Claw / Horn / Tooth - Small ,,2,$0.08,$0.16,Part,53451,0.1,363929440,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/23/2023,Used,Tan Panel 1 x 6 x 5 with Idol Pattern Turned Right (Sticker) - Set 7623,,1,$0.55,$0.55,Part,59349pb011,5.8,363929680,,,
23162762,9/22/2023,HeroChallenger,USD,$4.99,,,,,,$24.71,$1.97,$31.67,6,8,Shipped,9/23/2023,USD,PayPal (Onsite),,,"USA, New Jersey",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,German Soldier 2,,1,$5.38,$5.38,Minifigure,iaj005,3.44,363782457,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,German Soldier 3,,1,$6.56,$6.56,Minifigure,iaj006,3.44,363782458,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,German Soldier 4,,1,$6.29,$6.29,Minifigure,iaj004,3.44,363782459,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,"Indiana Jones - Dark Brown Jacket, Reddish Brown Fedora, Closed Mouth Lopsided Grin ",,1,$5.78,$5.78,Minifigure,iaj001,3.65,363782460,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,"Dark Bluish Gray Minifigure, Weapon Gun, Pistol Revolver - Large Barrel and Solid Handle ",,3,$0.10,$0.30,Part,30132,0.15,363782402,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,"Reddish Brown Minifigure, Weapon Whip Coiled ",,1,$0.40,$0.40,Part,61975,0.32,364245515,,,
23158953,9/22/2023,Taelormackin,USD,$4.99,,,,,,$2.40,$0.61,$8.00,1,16,Shipped,9/23/2023,USD,PayPal (Onsite),,,"USA, Texas",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/22/2023,Used,"Green Plate, Round 1 x 1 with Flower Edge &#40;4 Knobs / Petals&#41;",,16,$0.15,$2.40,Part,33291,0.11,366412076,,,
23148874,9/21/2023,OfficialCC,USD,$4.99,,,,,,$124.75,$9.73,$139.47,1,25,Shipped,9/23/2023,USD,PayPal (Onsite),,,"USA, Arizona",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/21/2023,Used,"White Minifigure, Headgear Helmet SW Stormtrooper Pattern Very good condition, like new, and it should be noted that this helmet exhibits noticeable print variations.",,25,$4.99,$124.75,Part,30408p01,1.07,364232320,,,
23140421,9/19/2023,Blaze_Hawk,USD,$4.99,,,,,,$5.10,$0.40,$10.49,2,2,Shipped,9/23/2023,USD,PayPal (Onsite),,,"USA, California",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/19/2023,Used,"Dark Brown Cat, Crouching ",,1,$1.10,$1.10,Part,6251,0.87,363931280,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/19/2023,Used,"Tan Minifigure, Hair Swept Back with Pointed Yellow &#40;Elf&#41; Ears Pattern",,1,$4.00,$4.00,Part,93230pb01,0.48,368391107,,,
23124580,9/18/2023,zombitroid,USD,$4.99,,,,,,$16.35,$0.00,$21.34,10,40,Completed,9/28/2023,USD,PayPal (Onsite),,,"USA, Oregon",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Black Minifigure, Utensil Handcuffs Batman Long &#40;two clips with handgrip bar in middle&#41;",,1,$0.50,$0.50,Part,56619,0.22,364364992,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Black Minifigure, Weapon Batman Batarang &#40;2 Bat Wings with Bar in Middle&#41;",,14,$0.01,$0.14,Part,98721,0.16,364364698,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Black Minifigure, Weapon Gun, Blaster Long &#40;SW&#41;",,3,$0.15,$0.45,Part,57899,0.48,364245802,,,
,,,,,,,,,,,,,,,,,,,,,,1,9/18/2023,Used,"Black Minifigure, Weapon Gun, Blaster Small &#40;SW&#41;",,8,$0.10,$0.80,Part,92738,0.23,364245914,,,
